team,wins
Boston,108
Houston,103
NY Yankees,100
Oakland,97
Milwaukee,96
Chi Cubs,95
LA Dodgers,92
Cleveland,91
Colorado,91
Atlanta,90
Tampa Bay,90
Seattle,89
St. Louis,88
Pittsburgh,82
Arizona,82
Washington,82
LA Angels,80
Philadelphia,80
Minnesota,78
NY Mets,77
San Francisco,73
Toronto,73
Cincinnati,67
Texas,67
San Diego,66
Detroit,64
Miami,63
Chi White Sox,62
Kansas City,58
Baltimore,47
